"No","Mata Kuliah","Pertanyaan","Sangat Setuju","Setuju","Tidak Setuju","Sangat Tidak Setuju"
"1","Statistika dan Probabilitas (KL2102)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","46.00 %","52.00 %","1.00 %","2.00 %"
"2","Statistika dan Probabilitas (KL2102)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","46.00 %","52.00 %","1.00 %","2.00 %"
"3","Statistika dan Probabilitas (KL2102)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","42.00 %","52.00 %","4.00 %","2.00 %"
"4","Statistika dan Probabilitas (KL2102)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","46.00 %","50.00 %","2.00 %","3.00 %"
"5","Statistika dan Probabilitas (KL2102)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","45.00 %","51.00 %","1.00 %","4.00 %"
"6","Statistika dan Probabilitas (KL2102)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","45.00 %","52.00 %","1.00 %","3.00 %"
"7","Statistika dan Probabilitas (KL2102)","Dosen menyampaikan materi dengan jelas","44.00 %","52.00 %","2.00 %","3.00 %"
"8","Statistika dan Probabilitas (KL2102)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","46.00 %","50.00 %","2.00 %","3.00 %"
"9","Statistika dan Probabilitas (KL2102)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","43.00 %","53.00 %","1.00 %","4.00 %"
"10","Statistika dan Probabilitas (KL2102)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","42.00 %","54.00 %","3.00 %","2.00 %"
"11","Statistika dan Probabilitas (KL2102)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","44.00 %","50.00 %","4.00 %","3.00 %"
"12","Statistika dan Probabilitas (KL2102)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","42.00 %","52.00 %","4.00 %","2.00 %"
"13","Statistika dan Probabilitas (KL2102)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","43.00 %","53.00 %","2.00 %","3.00 %"
"14","Statistika dan Probabilitas (KL2102)","Rata-rata","44.00 %","52.00 %","2.00 %","2.00 %"
"15","Statika (KL2131)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","33.00 %","60.00 %","3.00 %","3.00 %"
"16","Statika (KL2131)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","40.00 %","50.00 %","7.00 %","3.00 %"
"17","Statika (KL2131)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","37.00 %","47.00 %","13.00 %","3.00 %"
"18","Statika (KL2131)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","30.00 %","50.00 %","17.00 %","3.00 %"
"19","Statika (KL2131)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","37.00 %","50.00 %","13.00 %","0.00 %"
"20","Statika (KL2131)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","40.00 %","43.00 %","17.00 %","0.00 %"
"21","Statika (KL2131)","Dosen menyampaikan materi dengan jelas","30.00 %","53.00 %","17.00 %","0.00 %"
"22","Statika (KL2131)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","30.00 %","57.00 %","10.00 %","3.00 %"
"23","Statika (KL2131)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","33.00 %","50.00 %","13.00 %","3.00 %"
"24","Statika (KL2131)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","40.00 %","50.00 %","10.00 %","0.00 %"
"25","Statika (KL2131)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","33.00 %","57.00 %","10.00 %","0.00 %"
"26","Statika (KL2131)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","37.00 %","47.00 %","13.00 %","3.00 %"
"27","Statika (KL2131)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","33.00 %","50.00 %","7.00 %","10.00 %"
"28","Statika (KL2131)","Rata-rata","35.00 %","51.00 %","12.00 %","3.00 %"
"29","Struktur Dermaga (KL4184)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","0.00 %","0.00 %","0.00 %","0.00 %"
"30","Struktur Dermaga (KL4184)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","0.00 %","0.00 %","0.00 %","0.00 %"
"31","Struktur Dermaga (KL4184)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","0.00 %","0.00 %","0.00 %","0.00 %"
"32","Struktur Dermaga (KL4184)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","0.00 %","0.00 %","0.00 %","0.00 %"
"33","Struktur Dermaga (KL4184)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","0.00 %","0.00 %","0.00 %","0.00 %"
